,Square_id,eMBB,mMTC,URLLC
0,4452,1024.3974943284456,9.40773209077144,5.226517828206355
1,4452,1452.9886977866156,13.343773755183205,7.413207641768449
2,4452,1882.0692857636498,17.284309767217195,9.602394315120668
3,4452,2131.4749940026545,19.5747703530856,10.874872418380894
4,4452,1880.2866829351187,17.267938924914354,9.593299402730194
5,4452,1498.8817158444217,13.765240247550809,7.647355693083777
6,4452,1069.8011278673875,9.82470423551682,5.45816901973156
7,4452,640.7205398903534,5.884168223482835,3.2689823463793446
8,4452,366.6320001886075,3.3670285731606806,1.8705714295337117
9,4452,348.1000504959189,3.196837198431908,1.7760206657955047
10,4452,471.90229836686336,4.333796617654867,2.4076647875860377
11,4452,404.9804178229438,3.7192079187821374,2.0662266215456326
12,4452,293.4411175160578,2.6948674057597146,1.497148558755397
13,4452,367.29383551126267,3.373106652654453,1.8739481403635851
14,4452,418.24619161880725,3.8410364536421073,2.133909140912282
15,4452,427.3466157164264,3.924611776987588,2.1803398761042163
16,4452,456.87900043080816,4.195827554976808,2.3310153083204495
17,4452,335.4291847399749,3.0804721047548713,1.7113733915304838
18,4452,310.51582182290286,2.8516759147001287,1.584264397055627
19,4452,372.42139330035087,3.4201964690848548,1.900109149491586
20,4452,465.4425853843724,4.274472722917705,2.3747070682876146
21,4452,554.7025251546426,5.094206863665085,2.83011492425838
22,4452,596.6571766691424,5.479504683696205,3.0441692687201134
23,4452,498.8464381515443,4.581242799350917,2.545134888528287
0,4653,2091.3056335194283,19.205868062933522,10.66992670162974
1,4653,2092.784999544861,19.2194540774528,10.677474487473779
2,4653,1558.1332876766664,14.309387335806127,7.949659631003402
3,4653,1022.8662013696534,9.393669196251931,5.218705109028845
4,4653,773.3087434296848,7.101814990680778,3.9454527726004325
5,4653,597.1978457408981,5.484470011906207,3.0469277843923375
6,4653,469.4694774448383,4.311454384697494,2.395252435943052
7,4653,493.31244467416144,4.53042041027291,2.5169002279293946
8,4653,553.0556515779668,5.079082514491532,2.8217125080508514
9,4653,777.1848850189685,7.137412209357874,3.96522900519882
10,4653,843.384455654088,7.745367449884481,4.30298191660249
11,4653,937.4796138552869,8.609506657854675,4.783059254363708
12,4653,967.4397240840693,8.884650527302677,4.935916959612599
13,4653,983.4707368734265,9.031874114143713,5.017707841190952
14,4653,1050.3360679540515,9.645943481210677,5.358857489561487
15,4653,967.6129660230513,8.886241524701491,4.936800847056385
16,4653,1010.3561031576756,9.278780539203144,5.15487807733508
17,4653,830.62757833905,7.628212454134133,4.237895807852296
18,4653,1053.9820951710299,9.679427404631904,5.377459669239948
19,4653,1119.9479771268159,10.285236524634023,5.7140202914633464
20,4653,1291.904036692046,11.864424826763686,6.591347125979827
21,4653,1537.1575432762336,14.116752948455202,7.84264052691956
22,4653,1816.6744248577133,16.68374471808104,9.268747065600577
23,4653,1754.0288080506161,16.108427829036273,8.949126571686817
0,5061,928.9086080154372,8.53079333891728,4.739329632731823
1,5061,994.2478215395023,9.130847340668899,5.072692967038278
2,5061,785.8991507474861,7.217441180334056,4.0096895446300325
3,5061,718.9240394996119,6.60236362805766,3.6679797933653666
4,5061,544.1035529217224,4.996869363566838,2.7760385353149104
5,5061,478.6943283281153,4.396172403013304,2.442318001674058
6,5061,449.04859027308083,4.123915624956864,2.291064236087147
7,5061,615.1054903010894,5.648927972152862,3.138293317862701
8,5061,596.0264976605391,5.4737127336171945,3.04095151867622
9,5061,876.1776856798409,8.046529766447518,4.4702943146930645
10,5061,1128.093651733603,10.36004374041064,5.755579855783689
11,5061,1447.387517307979,13.292334342624299,7.384630190346833
12,5061,1952.0611435993567,17.927092135096128,9.959495630608961
13,5061,2103.84403036542,19.321016605396707,10.733898114109286
14,5061,2290.3866380515933,21.03416300251463,11.685646112508131
15,5061,2489.032332248364,22.858460194117626,12.699144552287573
